Keyword,LV1,Search UV,PDP UV,A2C_UV,Order_UV,GMV,ASP,ARPU,Found Number,E. Items,Cluster,,
nokia,Mobiles & Tablets,1074.00,583.00,240.00,63.00,8165.08,83.32,129.60,53999.00,635.00,EL,,
baby accessories,Mother & Baby,1053.00,419.00,105.00,28.00,91.20,2.46,3.26,543150.00,1130.00,FMCG,,
mobile phones,Mobiles & Tablets,1053.00,297.00,42.00,8.00,793.84,99.23,99.23,6086005.00,749.00,EL,,
toys for boys,Toys & Games,1044.00,379.00,56.00,14.00,43.19,3.09,3.09,178066.00,1020.00,GM,,
bags,Bags and Travel,1028.00,356.00,58.00,18.00,134.01,7.44,7.44,1680441.00,1085.00,Fashion,,
hair straightener,Health & Beauty,1021.00,506.00,187.00,66.00,394.56,5.72,5.98,32128.00,1509.00,FMCG,,
jacket for boys,Fashion,1010.00,372.00,38.00,6.00,67.76,11.29,11.29,32942.00,918.00,Fashion,,
coat for men,Fashion,998.00,417.00,53.00,7.00,69.50,8.69,9.93,33651.00,986.00,Fashion,,
oppo,TV Audio Video Gaming & Wearables,988.00,261.00,50.00,5.00,613.52,122.70,122.70,290105.00,346.00,EL,,
watches,Watches Sunglasses Jewellery,981.00,414.00,86.00,26.00,185.60,5.99,7.14,2321425.00,855.00,Fashion,,
handsfree,TV Audio Video Gaming & Wearables,976.00,520.00,285.00,119.00,331.54,2.53,2.79,330795.00,982.00,EL,,
bts accessories for girls,Mobiles & Tablets,967.00,281.00,23.00,5.00,40.57,5.80,8.11,2571.00,477.00,EL,,
maybelline,Health & Beauty,949.00,357.00,112.00,34.00,305.16,5.26,8.98,495.00,490.00,FMCG,,
vape shisha smoke pen,Motors,948.00,147.00,10.00,2.00,3.91,1.95,1.95,24290.00,599.00,GM,,
mask for girls,Health & Beauty,947.00,467.00,101.00,24.00,53.17,2.04,2.22,162108.00,772.00,FMCG,,
hair dryer for women,Health & Beauty,947.00,503.00,170.00,64.00,483.14,7.43,7.55,3077.00,425.00,FMCG,,
ariel,Groceries,945.00,614.00,490.00,289.00,2226.54,3.66,7.70,1681.00,280.00,FMCG,,
bra and panty set sexy,Fashion,943.00,391.00,58.00,25.00,128.24,3.47,5.13,10550.00,706.00,Fashion,,
winter clothes for women,Fashion,942.00,236.00,19.00,8.00,90.74,11.34,11.34,7282.00,1030.00,Fashion,,
audionic,TV Audio Video Gaming & Wearables,937.00,294.00,87.00,26.00,531.16,18.32,20.43,7837.00,732.00,EL,,
hair accessories for girls,Fashion,928.00,309.00,85.00,26.00,63.51,1.92,2.44,149715.00,964.00,Fashion,,
wallet for men,Bags and Travel,920.00,519.00,152.00,48.00,175.56,3.51,3.66,89021.00,1478.00,Fashion,,
chocolate,Groceries,919.00,416.00,102.00,30.00,103.58,1.88,3.45,115820.00,1032.00,FMCG,,
hand free,TV Audio Video Gaming & Wearables,917.00,509.00,261.00,98.00,237.61,2.22,2.42,2279676.00,1301.00,EL,,
camera,Cameras,917.00,172.00,39.00,14.00,267.40,15.73,19.10,5258254.00,528.00,EL,,
watches for men,Watches Sunglasses Jewellery,914.00,505.00,134.00,36.00,217.08,4.82,6.03,811819.00,2231.00,Fashion,,
hand bag for girls in sale low price,Bags and Travel,907.00,473.00,83.00,26.00,174.10,6.22,6.70,16277.00,1186.00,Fashion,,
smart watch for boys,TV Audio Video Gaming & Wearables,906.00,481.00,112.00,25.00,234.54,9.02,9.38,13479.00,1992.00,EL,,
bts,Fashion,903.00,380.00,83.00,27.00,117.28,3.45,4.34,9891.00,938.00,Fashion,,
ring light,Mobiles & Tablets,901.00,495.00,158.00,55.00,377.02,6.61,6.85,101337.00,768.00,EL,,
track suit for boys,Sports & Outdoors,893.00,456.00,87.00,32.00,274.28,8.07,8.57,1666.00,1040.00,GM,,
juicer machine,Home Appliances,892.00,475.00,116.00,30.00,391.57,11.52,13.05,41313.00,1141.00,EL,,
pop it toy,Toys & Games,891.00,453.00,157.00,70.00,246.65,3.12,3.52,22211.00,1020.00,GM,,
shoe for men,Fashion,890.00,438.00,95.00,34.00,284.65,8.37,8.37,88344.00,1269.00,Fashion,,
ps4,TV Audio Video Gaming & Wearables,885.00,364.00,46.00,6.00,1903.37,237.92,317.23,59498.00,300.00,EL,,
lip gloss,Health & Beauty,882.00,438.00,141.00,46.00,133.32,2.47,2.90,50773.00,788.00,FMCG,,
iphone 11,Mobiles & Tablets,882.00,245.00,23.00,2.00,1646.34,823.17,823.17,76311.00,500.00,EL,,
key chain,Motors,875.00,321.00,109.00,28.00,68.24,1.90,2.44,192613.00,1050.00,GM,,
led 32 inch,TV Audio Video Gaming & Wearables,872.00,320.00,61.00,6.00,2596.79,236.07,432.80,3726.00,649.00,EL,,
washing machine automatic,Home Appliances,869.00,444.00,116.00,31.00,9087.45,239.14,293.14,10577.00,598.00,EL,,
headphones,"TV, Audio / Video, Gaming & Wearables",855.00,428.00,131.00,59.00,389.52,5.90,6.60,379821.00,1356.00,EL,,
mobail phone,Mobiles & Tablets,851.00,194.00,22.00,1.00,80.45,80.45,80.45,5804201.00,469.00,EL,,
upper for men,Fashion,839.00,360.00,47.00,17.00,149.62,7.48,8.80,11302.00,780.00,Fashion,,
shoe rack,Furniture & Decor,838.00,500.00,154.00,63.00,516.71,7.95,8.20,12152.00,2008.00,GM,,
speaker,TV Audio Video Gaming & Wearables,835.00,432.00,137.00,47.00,255.44,4.82,5.43,513044.00,931.00,EL,,
redmi 10,Mobiles & Tablets,830.00,554.00,220.00,60.00,18426.85,245.69,307.11,34277.00,231.00,EL,,
water bottle,Kitchen & Dining,827.00,352.00,97.00,37.00,152.04,3.71,4.11,128450.00,1286.00,GM,,
miss rose foundation,Health & Beauty,825.00,504.00,259.00,124.00,501.06,3.50,4.04,3613.00,723.00,FMCG,,
cycle,Sports & Outdoors,816.00,329.00,30.00,4.00,414.90,82.98,103.72,512797.00,518.00,GM,,
bags for girls,Bags and Travel,816.00,356.00,64.00,21.00,163.45,6.05,7.78,123000.00,1377.00,Fashion,,
ring,Watches Sunglasses Jewellery,816.00,345.00,115.00,33.00,66.65,1.59,2.02,935545.00,1155.00,Fashion,,
home decoration items,Furniture & Decor,808.00,399.00,105.00,37.00,144.29,3.01,3.90,1428953.00,1364.00,GM,,
bat ball,Sports & Outdoors,806.00,443.00,117.00,26.00,120.69,4.02,4.64,4032.00,390.00,GM,,
one rupee,Groceries,800.00,721.00,697.00,661.00,17.46,0.01,0.03,2687.00,470.00,FMCG,,
miss rose,Health & Beauty,797.00,316.00,107.00,50.00,215.86,3.66,4.32,16390.00,1071.00,FMCG,,
mask for boys,Fashion,789.00,313.00,113.00,26.00,60.72,2.09,2.34,2792.00,588.00,Fashion,,
oven,Home Appliances,785.00,408.00,117.00,24.00,1892.30,63.08,78.85,175190.00,623.00,EL,,
xiaomi,Mobiles & Tablets,782.00,225.00,36.00,8.00,4355.55,311.11,544.44,389274.00,1078.00,EL,,
car accesories,Motors,779.00,369.00,87.00,21.00,97.47,2.32,4.64,874503.00,1333.00,GM,,
i phone 12 pro max,Mobiles & Tablets,780.00,326.00,40.00,1.00,4.49,4.49,4.49,42135.00,402.00,EL,,
toys for girls,Toys & Games,779.00,350.00,47.00,7.00,80.77,5.05,11.54,344826.00,952.00,GM,,
hoodie for girls,Fashion,777.00,421.00,92.00,27.00,205.55,6.85,7.61,21305.00,993.00,Fashion,,
honda 125 bike,Motors,775.00,405.00,124.00,9.00,8615.55,717.96,957.28,3017.00,1024.00,GM,,
perfume,Health & Beauty,775.00,332.00,153.00,57.00,208.48,2.78,3.66,275886.00,1243.00,FMCG,,
trimmer for men,Health & Beauty,775.00,455.00,165.00,75.00,615.71,7.42,8.21,47748.00,2310.00,FMCG,,
bike,Motors,773.00,304.00,72.00,6.00,1876.95,208.55,312.83,963388.00,531.00,GM,,
bag,Bags and Travel,770.00,193.00,33.00,9.00,176.59,8.41,19.62,1681041.00,1022.00,Fashion,,
mobile watch,TV Audio Video Gaming & Wearables,760.00,397.00,104.00,20.00,159.93,6.40,8.00,128877.00,683.00,EL,,
power bank 20000 mah,Mobiles & Tablets,759.00,360.00,93.00,25.00,283.82,10.14,11.35,35413.00,620.00,EL,,
makeup box,Health & Beauty,755.00,307.00,81.00,30.00,114.24,3.26,3.81,268334.00,1439.00,FMCG,,
laptop bag,Bags and Travel,753.00,386.00,80.00,32.00,247.09,7.49,7.72,82830.00,783.00,Fashion,,
vivo,Mobiles & Tablets,750.00,289.00,50.00,4.00,823.66,205.92,205.92,175156.00,263.00,EL,,
sofa cover,Furniture & Decor,750.00,458.00,117.00,62.00,848.10,12.29,13.68,71180.00,1018.00,GM,,
jackets for men,Fashion,747.00,334.00,28.00,5.00,68.74,11.46,13.75,29329.00,1482.00,Fashion,,
one rupee game,Digital Goods,746.00,684.00,664.00,631.00,12.40,0.01,0.02,45.00,44.00,Digital Goods,,
blu tooth hand free,Motors,745.00,364.00,165.00,51.00,185.11,3.25,3.63,47859.00,1045.00,GM,,
microwave oven,Home Appliances,744.00,441.00,154.00,44.00,4794.67,76.11,108.97,100454.00,472.00,EL,,
ps5,TV Audio Video Gaming & Wearables,744.00,331.00,32.00,1.00,11.47,11.47,11.47,48528.00,408.00,EL,,
infinix hot 10,Mobiles & Tablets,736.00,237.00,58.00,12.00,2682.16,116.62,223.51,21677.00,235.00,EL,,
sandwich maker,Home Appliances,732.00,387.00,107.00,42.00,931.88,20.26,22.19,3919.00,961.00,EL,,
bracelet for girls,Watches Sunglasses Jewellery,730.00,355.00,83.00,30.00,81.27,2.32,2.71,114991.00,1030.00,Fashion,,
foundation,Health & Beauty,723.00,431.00,151.00,58.00,191.52,2.62,3.30,62880.00,1334.00,FMCG,,
samsung,Mobiles & Tablets,723.00,316.00,53.00,2.00,522.16,174.05,261.08,1014857.00,398.00,EL,,
bag for boys,Bags and Travel,717.00,341.00,73.00,20.00,194.94,9.28,9.75,36932.00,655.00,Fashion,,
realme,Mobiles & Tablets,715.00,312.00,93.00,17.00,3374.26,168.71,198.49,53487.00,307.00,EL,,
shoes for girls,Fashion,714.00,249.00,27.00,4.00,19.75,4.94,4.94,120117.00,949.00,Fashion,,
dress for girls,Fashion,712.00,283.00,28.00,6.00,64.20,9.17,10.70,300449.00,789.00,Fashion,,
coffee,Groceries,708.00,338.00,127.00,40.00,220.55,5.38,5.51,459004.00,1304.00,FMCG,,
socks for girls,Fashion,705.00,354.00,77.00,23.00,76.62,2.74,3.33,26675.00,733.00,Fashion,,
sweat shirts for men,Fashion,701.00,306.00,55.00,21.00,379.94,9.05,18.09,34079.00,1018.00,Fashion,,
gloves for men,Sports & Outdoors,700.00,339.00,74.00,23.00,137.33,5.09,5.97,25069.00,912.00,GM,,
chain for boys,Watches Sunglasses Jewellery,700.00,340.00,112.00,43.00,98.95,2.06,2.30,105917.00,710.00,Fashion,,
t shirt for men,Fashion,698.00,291.00,81.00,17.00,99.38,4.32,5.85,117944.00,921.00,Fashion,,
condom female,Health & Beauty,697.00,203.00,30.00,7.00,36.13,5.16,5.16,1422.00,533.00,FMCG,,
make up kit,Health & Beauty,696.00,295.00,46.00,11.00,65.01,4.64,5.91,345315.00,693.00,FMCG,,
hoodies,Fashion,694.00,302.00,58.00,12.00,77.03,4.81,6.42,157375.00,1386.00,Fashion,,
iphone 11 pro max mobile,Mobiles & Tablets,693.00,218.00,21.00,0.00,0.00,0.00,0.00,41477.00,441.00,EL,,
makeup brushes,Health & Beauty,691.00,409.00,185.00,65.00,242.07,3.36,3.72,178771.00,772.00,FMCG,,
dress design for girls,Fashion,691.00,235.00,7.00,2.00,18.09,6.03,9.04,71137.00,1023.00,Fashion,,
poco x3 pro,Mobiles & Tablets,691.00,310.00,62.00,3.00,330.52,110.17,110.17,2928.00,239.00,EL,,
heater,Home Appliances,690.00,342.00,100.00,46.00,652.53,13.32,14.19,57028.00,1766.00,EL,,
shirt for men,Fashion,685.00,188.00,32.00,7.00,79.00,5.27,11.29,145134.00,760.00,Fashion,,
audio and accessories,Mobiles & Tablets,681.00,144.00,32.00,4.00,2.75,0.69,0.69,7573179.00,1874.00,EL,,
led,TV Audio Video Gaming & Wearables,681.00,226.00,49.00,7.00,1799.54,257.08,257.08,1266198.00,585.00,EL,,
gift for girls,Watches Sunglasses Jewellery,678.00,240.00,44.00,10.00,43.40,3.95,4.34,421338.00,857.00,Fashion,,
clock,Furniture & Décor,678.00,344.00,139.00,79.00,319.42,3.01,4.04,413760.00,1367.00,GM,,
shampoo,Health & Beauty,678.00,346.00,143.00,40.00,301.10,5.19,7.53,68981.00,1292.00,FMCG,,
gloves for girls,Fashion,676.00,355.00,89.00,36.00,176.63,4.21,4.91,20832.00,1024.00,Fashion,,
school bag for girls,Stationery & Craft,676.00,263.00,41.00,11.00,106.33,8.18,9.67,23228.00,1021.00,GM,,
face mask,Health & Beauty,675.00,202.00,52.00,14.00,32.38,2.31,2.31,101009.00,1097.00,FMCG,,
shoes for women,Fashion,675.00,277.00,35.00,9.00,109.87,12.21,12.21,166235.00,1108.00,Fashion,,
room decoration items,Furniture & Decor,675.00,323.00,62.00,17.00,61.42,2.36,3.61,500456.00,849.00,GM,,
heater electric,Home Appliances,673.00,371.00,120.00,65.00,764.37,10.19,11.76,19908.00,878.00,EL,,
speaker bluetooth,TV Audio Video Gaming & Wearables,672.00,332.00,125.00,40.00,197.59,4.49,4.94,173489.00,1180.00,EL,,
hoddies for boys,Fashion,671.00,211.00,31.00,4.00,26.87,5.37,6.72,8980.00,746.00,Fashion,,
hoodies for girls,Fashion,669.00,366.00,85.00,31.00,277.76,6.77,8.96,21305.00,907.00,Fashion,,
cycle for boys,Sports & Outdoors,667.00,258.00,32.00,0.00,0.00,0.00,0.00,14096.00,805.00,GM,,
pen,Stationery & Craft,664.00,242.00,58.00,11.00,36.65,2.62,3.33,359318.00,1019.00,GM,,
mobail fone,Mobiles & Tablets,663.00,228.00,22.00,1.00,117.59,117.59,117.59,6086117.00,565.00,EL,,
waches for girls,Watches Sunglasses Jewellery,663.00,328.00,81.00,23.00,77.95,2.60,3.39,558311.00,1024.00,Fashion,,
usb,Computers & Laptops,662.00,327.00,128.00,49.00,289.35,5.36,5.91,1085888.00,512.00,EL,,
sneakers for men,Fashion,658.00,368.00,76.00,27.00,354.35,10.42,13.12,7545.00,1125.00,Fashion,,
nails,Health & Beauty,651.00,376.00,135.00,53.00,130.36,2.14,2.46,490029.00,541.00,FMCG,,
fridge,Home Appliances,651.00,344.00,65.00,12.00,4281.42,305.82,356.78,127598.00,559.00,EL,,
perfume for girls,Health & Beauty,651.00,339.00,110.00,41.00,137.46,3.27,3.35,27440.00,879.00,FMCG,,
leather jacket for men,Fashion,649.00,352.00,47.00,8.00,147.43,18.43,18.43,3734.00,1018.00,Fashion,,
shoe for girls,Fashion,649.00,201.00,17.00,7.00,63.45,7.93,9.06,120115.00,759.00,Fashion,,
lipstick box,Health & Beauty,647.00,289.00,91.00,36.00,141.37,3.53,3.93,14718.00,777.00,FMCG,,
infinix note 11 pro,Mobiles & Tablets,646.00,354.00,109.00,13.00,2840.60,202.90,218.51,9559.00,321.00,EL,,
tint for lips and cheeks,Health & Beauty,646.00,424.00,193.00,78.00,187.14,2.08,2.40,2263.00,680.00,FMCG,,
jacket for girls,Fashion,643.00,274.00,46.00,10.00,80.17,8.02,8.02,22024.00,1027.00,Fashion,,
necklace for girls,Watches Sunglasses Jewellery,642.00,324.00,93.00,28.00,65.56,1.87,2.34,78653.00,1250.00,Fashion,,
watches for girls,Watches Sunglasses Jewellery,642.00,298.00,79.00,31.00,109.16,2.66,3.52,555317.00,519.00,Fashion,,
sex toy,Health & Beauty,641.00,107.00,10.00,5.00,25.42,5.08,5.08,6752.00,797.00,FMCG,,
air fryer,Home Appliances,636.00,361.00,96.00,37.00,4462.37,103.78,120.60,8236.00,885.00,EL,,
sex,Health & Beauty,636.00,135.00,13.00,2.00,1.80,0.90,0.90,3553.00,1027.00,FMCG,,
gloves,Laundry & Cleaning,635.00,179.00,45.00,17.00,60.80,2.90,3.58,199646.00,669.00,GM,,
oil cooking,Groceries,632.00,219.00,103.00,10.00,144.88,14.49,14.49,36960.00,766.00,FMCG,,
iphone 13 pro max mobile,Mobiles & Tablets,630.00,192.00,42.00,4.00,3495.01,699.00,873.75,121162.00,640.00,EL,,
sofa cum bed,Furniture & Decor,629.00,349.00,46.00,12.00,1465.90,122.16,122.16,6758.00,588.00,GM,,
nail art kit,Health & Beauty,628.00,316.00,85.00,31.00,170.01,4.59,5.48,162407.00,807.00,FMCG,,
iphon 12 pro max,Mobiles & Tablets,628.00,254.00,49.00,1.00,559.33,559.33,559.33,177909.00,237.00,EL,,
make up brushes set,Health & Beauty,626.00,390.00,156.00,55.00,202.46,3.27,3.68,277990.00,1121.00,FMCG,,
ps 5,TV Audio Video Gaming & Wearables,625.00,241.00,14.00,0.00,0.00,0.00,0.00,46162.00,423.00,EL,,
joggers shoes for men,Fashion,623.00,340.00,50.00,11.00,100.96,9.18,9.18,8348.00,889.00,Fashion,,
sofa set,Furniture & Decor,621.00,325.00,28.00,3.00,928.46,232.12,309.49,129931.00,1080.00,GM,,
shoe for boys,Fashion,620.00,182.00,19.00,5.00,53.13,8.86,10.63,26154.00,820.00,Fashion,,
kichan accessories,Kitchen & Dining,617.00,241.00,79.00,15.00,50.83,2.12,3.39,922210.00,1019.00,GM,,
jackets,Fashion,615.00,143.00,13.00,3.00,30.68,7.67,10.23,142895.00,1018.00,Fashion,,
sneakers for girls,Fashion,615.00,317.00,54.00,11.00,63.18,5.27,5.74,13893.00,1279.00,Fashion,,
stationary items for girls,Stationery & Craft,614.00,204.00,17.00,2.00,5.46,2.73,2.73,3573.00,848.00,GM,,
iphone 13,Mobiles & Tablets,613.00,352.00,78.00,7.00,9803.79,891.25,1400.54,28620.00,291.00,EL,,
slime,Toys & Games,613.00,350.00,114.00,25.00,56.46,2.02,2.26,30522.00,468.00,GM,,
iphone 12 pro max,Mobiles & Tablets,612.00,273.00,45.00,0.00,0.00,0.00,0.00,70474.00,384.00,EL,,
redmi note 10,Mobiles & Tablets,612.00,205.00,33.00,5.00,855.85,122.26,171.17,29839.00,385.00,EL,,
condom male,Health & Beauty,611.00,254.00,96.00,36.00,140.38,2.92,3.90,1423.00,583.00,FMCG,,
cap for men,Fashion,608.00,260.00,75.00,27.00,112.41,4.01,4.16,197986.00,1106.00,Fashion,,
bed sheet,Bedding & Bath,606.00,329.00,79.00,29.00,296.87,7.61,10.24,489036.00,682.00,GM,,
jeans for girls,Fashion,604.00,295.00,53.00,17.00,80.70,4.75,4.75,34463.00,373.00,Fashion,,
i phone,Mobiles & Tablets,604.00,83.00,8.00,0.00,0.00,0.00,0.00,5942818.00,211.00,EL,,
pubg,Digital Goods,602.00,299.00,27.00,4.00,13.94,3.49,3.49,56290.00,469.00,Digital Goods,,
phone,Mobiles & Tablets,601.00,232.00,25.00,4.00,845.44,105.68,211.36,5913252.00,303.00,EL,,
storage bag,Furniture & Decor,596.00,384.00,221.00,132.00,408.83,2.78,3.10,420823.00,1592.00,GM,,
helmet for bike,Motors,595.00,356.00,66.00,24.00,150.34,6.26,6.26,13983.00,590.00,GM,,
jolo chip,Groceries,593.00,250.00,37.00,1.00,9.21,9.21,9.21,242717.00,239.00,FMCG,,
sex toys,Health & Beauty,595.00,109.00,5.00,4.00,16.91,4.23,4.23,6596.00,435.00,FMCG,,
